Website?,Problem or Solution?,BUILDING BLOCK,Substep,Environmental Tag,Environmental SubTag,World Region,Title,Author,Publisher,Date,Date,Abstract,URL,Notes,Included in Vingettes?,Included in Case Studies?,Essential Not Essential,Posted on Twitter?,Tweet,Tweet Date,Retweet,Retweet Date,Posted on Facebook,Facebook Post Date,,,,,
,Salient,energy consumption,How behavioral science can lower your energy bill,Alex Laskey,TedTalk,,"What's a proven way to lower your energy costs? Would you believe: learning what your neighbor pays. Alex Laskey shows how a quirk of human behavior can make us all better, wiser energy users, with lower bills to prove it. (opower); social norms and feedback and prompts",,0.340972222,,http://www.ted.com/talks/alex_laskey_how_behavioral_science_can_lower_your_energy_bill#t-134769,No,No,,,Yes,How�#behavioralscience�can lower your�#energy�bill�#tedtalk:http://ow.ly/Uvdpq,1/25/16,5/31/16,Yes,1/11/16,,,,,,,,
,Personal ,,How to Persuade Others with the Right Question,Dan Pink,,,"Communication, the importance of allowing people to articulate their own reason for doing or not doing something and the effect this has on promoting desirable behavior",,5 min,not directly related to any ds principle but shows how to communicate with people,https://www.youtube.com/watch?v=WAL7Pz1i1jU,No,No,,,Yes,.@DanielPink�on How to Persuade Others with the Right Questionshttp://ow.ly/Uve5Q,1/27/16,8/4/16,,,,,,,,,,
,Personal ,,Wash Lab All Types,Consensus,Consensus,,different types of showers and how to approach each of them to get them take shorter showers,,6 min,,https://www.youtube.com/watch?v=_V7DzW4KMrM&feature=youtu.be,No,No,,,Yes,This video outlines the traits of different personal washing behaviors. Which one are you?�http://ow.ly/UveCL,1/28/16,5/25/16,Yes,1/13/16,,,,,,,,
,Mindful ,Can be used to be aware of cognitive biases towards the environment,How to improve your daily decision making: Top 4 cognitive biases you should avoid,,,,Being aware of certain cognitive biases can improve decision making.�,,0.219444444,,https://www.youtube.com/watch?v=3Ux3pm6UfCo,No,No,,,Yes,"4 #cognitive #biases to avoid Being aware can improve decision making, even those made towards the #environment. http://ow.ly/WYQg5",4/14/16,,Yes,3/18/16,,,,,,,,
,,,How great leaders inspire action,Simon Sinek,,2010,Inspiring action,TED,,Video; Talk about what you believe,http://www.ted.com/talks/simon_sinek_how_great_leaders_inspire_action,No,No,,,,,,,Yes,4/18/16,,,,,,,,
,Consistent,,Foot in the Door Phenomenon,Bo Bennet,,,Bennet describes the foot in the door technique,,5 min,,https://www.youtube.com/watch?v=oBNoa4c7J6I,No,No,,,,,,,,,,,,,,,,
,Consistent,,A Lesson On Cognitive Dissonance,,,,Basic explication of cognitive dissonance with footage from original experiments,,5 min,,https://www.youtube.com/watch?v=korGK0yGIDo,No,No,,,,,,,,,,,,,,,,
,Consistent,climate change,Climate change - the greatest story never told,George Marshall,,2014,,tedx talks,,video,https://www.youtube.com/watch?v=wBlTu9Tpvvo,No,No,,,Yes,,,,Yes,,,,,,,,,
,Consistent,,Dan Ariely - Cognitive Dissonance,Dan Ariely,,,Ariely discusses Leon Festinger's cognitive dissonance experiment and Zappos,,5 min,,https://www.youtube.com/watch?v=eFYPlXGiJ-E,Yes,No,,,,,,,,,,,,,,,,
,Consistent,,Climate Change -- The Greatest Story Never Told,George Marshall,,11/19/14,,,0.733333333,,https://www.youtube.com/watch?v=wBlTu9Tpvvo,No,No,,,,,,,,,,,,,,,,
,Consistent,,"Yale Professor Dan Kahan on ""protective cognition""",Dan Kahan,,,,,1.5 min,,https://www.youtube.com/watch?v=NJDBv7eldSU,No,No,,,,,,,,,,,,,,,,
,Easy,Preparedness,Disaster Preparedness as a Catalyst for Building Community�Before it Happens,JoAnn Jordan,Garrison Institute,2013,Overcoming barriers that prevent people from preparing for environmental disasters; Communication and Framing,Garrison Institute,,Video,https://www.youtube.com/watch?v=agZrXLjICnY&list=PLyGz__IQOrcObBUurAx_0LusA7LvlJ2EQ&index=8,No,No,,,,,,,,,,,,,,,,
,Feedback,,Health and Conservation Reminders Cut Consumer Energy Use,Cynthia Graber,Scientific American,1/12/15,Households that got weekly messages about the lower pollution they generated via efficiency cut energy use much more than did residents who were told how much money they were saving. Cynthia Graber reports,,0.068055556,,http://www.scientificamerican.com/podcast/episode/health-and-conservation-reminders-cut-consumer-energy-use/?utm_source=twitterfeed&utm_medium=twitter,Yes,No,,,,,,,,,,,,,,,,
,Habit,,When Willpower Isn't Enough,Katherine Milkman,Freakonomics,3/13/15,"One of the most compelling talks I saw at this year�s�American Economics Association conference�was by�Katherine Milkman, an assistant professor at the Wharton School at Penn. She holds a joint Ph.D. in computer science and business, but her passion is behavioral economics � and, specifically, how its findings can be applied to help people in their daily lives.�",,33 min,,http://freakonomics.com/podcast/when-willpower-isnt-enough-a-new-freakonomics-radio-podcast/,Yes,No,,,,,,,,,,,,,,,,
,Habits,,Motivation Wave,BJ Fogg,,,,,0.954861111,,Motivation Wave: MotivationWave-BJFogg-2012,No,No,,,,,,,,,,,,,,,,
,Habits; Easy,,,BJ Fogg,Vime,,"Simplicity and persuasive technologies, the easier a behavior is the more likely we do the behavior. The lowest cost effective tool. Simplicity is viewed as the perception of an experience, not inherent. 6 Elements/factors of simplicity: Time, Money, physical effort, brain cycles, Social deviance, and non routine. Each person has a different 'simplicity profile' and resources. Solutions differ for each profile. Simpilicity can be viewed as your scarcest element at the moment.",,11,,,Habits = No; Easy = No,Habits = No; Easy = No,,,,,,,,,,,,,,,,
,Mindful,,Brain Tricks - This Is How Your Brain Works,,AsapSCIENCE,2013,System 1 and System 2 Thinking; Neuroscience,AsapSCIENCE,,Video,https://www.youtube.com/watch?v=JiTz2i4VHFw&index=2&list=PLvFsG9gYFxY9XwLbh_VcqefKfOAEwA4mj,No,No,,,,,,,,,,,,,,,,
,Mindful,,Cognition: How Your Mind Can Amaze and Betray You,,CrashCourse,2014,Behavioral Science; cognitive science and biases,CrashCourse,,Video,https://www.youtube.com/watch?v=R-sVnmmw6WY&index=15&list=PL8dPuuaLjXtOPRKzVLY0jJY-uHOH9KVU6,No,No,,,,,,,,,,,,,,,,
,Mindful,,The Negative Side of Positive Thinking,,BrainCraft,2014,The effect of positive thoughts and motivation,BrainCraft,,Video,https://www.youtube.com/watch?v=UFeOw1tC_ew&list=PLQwg0PxpUPlr0cfP61nVBc2wwaERqhWUG&index=2,No,No,,,,,,,,,,,,,,,,
,Mindful ,,RSA Animate - The Power of Outrospection,,The RSA,,,,,,https://www.youtube.com/watch?v=BG46IwVfSu8,No,No,,,,,,,,,,,,,,,,
,Mindful ,,What is Mindfulness Based Cognitive Therapy MBCT short animation by BEmindfulUK�,,,,General/ Brief overview of cognitive mindfulness techniques. Stresses the importance of being �aware of automatic cognitive patterns. �,,0.054861111,,https://www.youtube.com/watch?v=8JsYp1Lp92w,No,No,,,,,,,,,,,,,,,,
,Normal,,"Experimental Economics, Norms, and Prosocial Behaviour with Erik Kimbrough",Garrett Petersen,Economics Detective,2/27/15,,Economics Detective,,,http://economicsdetective.com/2015/02/experimental-economics-norms-and-prosocial-behaviour-with-erik-kimbrough-mp3/,No,No,,,,,,,,,,,,,,,,
,Normal ,,What's Culture Got to do With It?,Jennifer Hirsch,Garrison Institute,2012,Using communication and knowledge of community values to promote climate engagement,,,Video,https://www.youtube.com/watch?v=F9avrSER81I&list=PLyGz__IQOrcObBUurAx_0LusA7LvlJ2EQ&index=15,No,No,,,,,,,,,,,,,,,,
,Normal ,,,Cass Sunstein,,,Discusses group dynamics and attitude polarization with regards to attitudes about climate change,,7 min,,http://thedailyshow.cc.com/videos/59kpyq/cass-sunstein,No,No,,,,,,,,,,,,,,,,
,Personal,,Behavioral Economics of Intrinsic Motivation ,Dan Pink,TED,2009,Motivation,TED,6 min,Video,https://www.youtube.com/watch?v=hbkJ5MKEVEE/ http://www.ted.com/talks/dan_pink_on_motivation,No,No,,,,,,,,,,,,,,,,
,Resonate,Importance of framing and methods of talking about an issue--more powerful than the facts themselves,What's your story?,,The Really Big Questions (Sound Vision Productions & PRI),,Importance of framing and methods of talking about an issue--more powerful than the facts themselves; Storytelling; Framing,The Really Big Questions (Sound Vision Productions & PRI),,Audio,http://trbq.org/topics/stories/,No,No,,,,,,,,,,,,,,,,
,Salient,,Aral Sea,Wired Magazine,,,Time lapse video of the dessertification of Aral Sea (Central Asia); Overcoming perceptual barriers,,10 sec,,https://www.youtube.com/watch?v=MD3UldIQaUo,No,No,1,,,,,,,,,,,,,,,
,Salient,,Shankar Vedantam,,,,"how culture, psychological influences affect how we think about environmental and policy issues, how different communication strategies appeal to different value systems",,40 min,,https://www.youtube.com/watch?v=s9wxpn4nflA,No,No,,,,,,,,,,,,,,,,
,,,A Slice of the Pie: Profiling Behavioral Opportunities in Your City,Karen Ehrhardt-Martinez,,2013,Environmental Behavior; Environmental Behavior Research as applied to cities,Garrison Institute,,Video,https://www.youtube.com/watch?v=5_tc0qmbR8o&index=5&list=PLyGz__IQOrcObBUurAx_0LusA7LvlJ2EQ,No,No,,,,,,,,,,,,,,,,
,,,Are Your Emotions Contagious?,BrainCraft,,2015,Psychology; Emotions and Communication,BrainCraft,,Video,https://www.youtube.com/watch?v=HTFdMwCXpMw,No,No,,,,,,,,,,,,,,,,
,,,Banny Banerjee - Design of the future,Banny Banerjee,,2011,,,,video,https://vimeo.com/17497415,No,No,,,,,,,,,,,,,,,,
,,,Banny Banerjee - Design Thinking: An approach to Strategic Transformations,Banny Banerjee,,2012,,Alta Scuola Politecnica,,video,https://www.youtube.com/watch?v=-sVR9_2dL24,No,No,,,,,,,,,,,,,,,,
,,,Beware neuro-bunk,Molly Crockett,,2014,Cognitive bias,TED,,Video; image of brain making us buy things,http://www.ted.com/talks/molly_crockett_beware_neuro_bunk,No,No,,,,,,,,,,,,,,,,
,,climate science and global warming,Decision Making Under Uncertainty,A.E. Dessler,,2013,Making decisions about climate science uncertanties; Decision Making,,,Video,https://www.youtube.com/watch?v=iRAL3dWnSNg&index=28&list=PLyGz__IQOrcObBUurAx_0LusA7LvlJ2EQ,No,No,,,,,,,,,,,,,,,,
,,resource use,DLD14 - Time's Role in the Tragedy of the Commons,Jennifer Jacquet,,2014,"behavior; cooperation, self-interest, and resource use",DLDconferece,,Video,https://www.youtube.com/watch?v=AKErMaIRf4w,No,No,,,,,,,Yes,,,,,,,,,
,,,Does Money Make you Mean?,Paul Piff,,2013,,ted talks,,video,http://www.ted.com/talks/paul_piff_does_money_make_you_mean,No,No,,,,,,,,,,,,,,,,
,,,Fish hook questions: Banny Banerjee at TEDxStanford,Banny Banerjee,,2012,,TEDx Talks,,video,https://www.youtube.com/watch?v=SEbg_dGQ0uI,No,No,,,,,,,,,,,,,,,,
,,,How our brains feel emotion,Damasio,,2010,Emotions,BigThink,,Video,http://bigthink.com/videos/how-our-brains-feel-emotion,No,No,,,,,,,,,,,,,,,,
,,,How to make choosing easier,Sheena Iyengar,,2011,Complex decisions; Cognitive bias,TED,,Video; Jam display,https://www.ted.com/talks/sheena_iyengar_choosing_what_to_choose,No,No,,,,,,,,,,,,,,,,
,,,How to spot psudoscience and biodebunk,Carol A. Tavris,,2012,Psuedoneuroscience,Psychological Science Annual Convention,,Video; nearly an hour long,http://www.psychologicalscience.org/index.php/video/how-to-spot-pseudoneuroscience-and-biobunk.html,No,No,,,,,,,,,,,,,,,,
,,,http://www.influenceatwork.com/videos/,,,,,,,,,No,No,,,,,,,,,,,,,,,,
,,,Inquiring Minds,Indre Viskontas and Kishore Hari,,,,,,series of podcasts,https://itunes.apple.com/us/podcast/inquiring-minds/id711675943?mt=2,No,No,,,,,,,,,,,,,,,,
,,,Invisibilia,NPR,,,"Behavioral Science, Psychology, Neuroscience",NPR,,Podcast Series,http://www.npr.org/programs/invisibilia/,No,No,,,,,,,,,,,,,,,,
,,,"Is Tyson Foods' Chicken Empire a ""Meat Racket""?",Dan Charles,,2014,Rational actor model failure (Rod's description); Market functioning,NPR Food,,Audio; About content of Christopher Leonard's The Meat Racket; higly consolidated market is not good for consumers,http://www.npr.org/blogs/thesalt/2014/02/19/276981085/is-tyson-foods-chicken-empire-a-meat-racket,No,No,,,,,,,,,,,,,,,,
,,climate change,"Science Communication as the ""New Political Science"" for Democracy",Dan M. Kahan,,2012,"Interaction between values, communication strategies, and concern about climate change; Communication and Framing",Arthur M. Sackler Colloquia,,Video,https://www.youtube.com/watch?v=d5fBkivqa78&index=33&list=PLyGz__IQOrcObBUurAx_0LusA7LvlJ2EQ,No,No,,,,,,,,,,,,,,,,
,,,Simon Ruda - Pioneering Behavioural Science in Public Policy,Simon Ruda,,2013,Behavior science and public policy; Behavioral Science,digishoreditch,,Video,https://www.youtube.com/watch?v=WfMt5Xvok4w&index=4&list=PLAOgoKukc6Mbg0fY6YLbOagIyDzZXst-g,No,No,,,,,,,,,,,,,,,,
,,,Sometimes it's good to give up the driver's seat,Baba Shiv,,2012,Complex decisions; Cognitive bias,TED,,Video; we make more and better choices when the consequences of the choice affects us less directly,http://www.ted.com/talks/baba_shiv_sometimes_it_s_good_to_give_up_the_driver_s_seat,No,No,,,,,,,,,,,,,,,,
,,,Spaghetti sauce,Malcolm Gladwell,,2004,Complex decisions; Cognitive bias,TED,,"Video: Howard Moskowitz in the 80s - Prego spaghetti sauce, Dijon mustard, fewer options, ",http://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce,No,No,,,,,,,,,,,,,,,,
,,,"Sustainability and Resilience Require A Shift ""From Me to We""",Bob Doppelt,,2013,We should increase the capacity of our societies to withstand change; Behavior,Garrison Institute,,Video,https://www.youtube.com/watch?v=hT8UEaXRJ3w&list=PLyGz__IQOrcObBUurAx_0LusA7LvlJ2EQ&index=6,No,No,,,,,,,,,,,,,,,,
,,Get target audiences to listen,Tapping Into The Power of The Hidden Brain,Shankar Vedantam,,2013,Communication; Behavioral Science,Communications Network,,Video,http://www.comnetwork.org/2013/07/tapping-the-power-of-the-hidden-brain-video/,No,No,,,,,,,,,,,,,,,,
,,,The art of choosing,Sheena Iyengar,,2010,Complex decisions; Cognitive bias,TED,,Video; US and French parents' decisions about infant being taken off life support,https://www.ted.com/talks/sheena_iyengar_on_the_art_of_choosing,No,No,,,,,,,,,,,,,,,,
,,,The Human Zoo,BBC Radio 4,,,Behavioral Science,BBC Radio 4,,Podcast Series,http://www.bbc.co.uk/programmes/b036tbly/episodes/guide,No,No,,,,,,,,,,,,,,,,
,,,The optimism bias,Tali Sharot,,2012,optimism bias; behavior,TED,,Video,http://www.ted.com/talks/tali_sharot_the_optimism_bias,No,No,,,,,,,,,,,,,,,,
,,,The origins of pleasure,Paul Bloom,,2011,Bin-creation; Cognitive bias,TED,,Video; The pleasure from objects depends on their history,http://www.ted.com/talks/paul_bloom_the_origins_of_pleasure,No,No,,,,,,,,,,,,,,,,
,,,The paradox of choice,Barry Schwartz,,2005,Complex decisions; Cognitive bias,TED,,"Video; about study done by Iyengar and Emir Kamenica; financial savings: every 10 additional funds offered, the likelyhood of individuals choosing no plan increased by 2.87%; Another study by David Myers and Robert Lane: despite GDP going up, stated levels of happiness have decreased (more options, less happy)",http://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice,No,No,,,,,,,,,,,,,,,,
,,,The Science of Smart,,,2014,Education; Behavioral Science,KQED,,Audio,http://www.kqed.org/a/radiospecials/R201408290200,No,No,,,,,,,,,,,,,,,,
,,,The town where everyone talks about death,Channa Joffe-Walt,,2014,Changing behavior in healthcare; Cognitive bias,NPR Morning Edition,,"Audio; Advance directives in healthcare in La Crosse, Wisconsin",http://www.npr.org/blogs/money/2014/03/05/286126451/living-wills-are-the-talk-of-the-town-in-la-crosse-wis,No,No,,,,,,,,,,,,,,,,
,,,various,,,,"willpower, decision fatigue; Behavior",,,collection of podcasts,http://howstuffworks.tumblr.com/post/114458602451/stufftoblowyourmind-it-may-not-always-be-polite,No,No,,,,,,,,,,,,,,,,
,,,What Sherlock Holmes Can Teach Us About Decision Making,Maria Konnikova,,2013,,TED,,Video,https://www.youtube.com/watch?v=JfZd2oLIIMw,No,No,,,,,,,,,,,,,,,,
,,,Why some people find excercize harder than others,Emily Balcetis,,2014,Eye tricks; Behavioral Science,TED,,"How the minds eye sees things differently (apples look larger to dieters, excercize tips, obama skin color and how you vote)",http://www.ted.com/talks/emily_balcetis_why_some_people_find_exercise_harder_than_others,No,No,,,,,,,,,,,,,,,,
,Make Hopeful ,Climate change ,"""Daniel Goleman: Environmental Handprint Should be Our Focus""",,,7/26/12,"narrative about climate change is ""speaking to the wrong brain system. Engage the positive reward system. Footprint is bad, hand print is subtotal of everything good we do. What can we do that will enlarge our positive contribution. Discussion of carbon footprint engages the system for distress, for fear for anger... what we should be doing is engaging the rewards system that energizes and enthuses us."" Suggests new calculation to spur motivation: take footprint, subtrack handprint from it, try to enlarge handprint. ",Huffington Post,0.120138889,,http://www.huffingtonpost.com/2012/07/26/environmental-handprint_n_1703407.html,,,,,,,,,,,,,,,,,,
,Make it Mindful ,Climate change ,What we think about when we try not to think about global warming ,,,42131,"There are five main psychological barriers to climate action �the five D�s Per Espen Stoknes calls them�that keep us from acknowledging the need for change: We distance ourselves from the climate issue; we avoid doom and sacrifice messengers; we experience cognitive dissonance; we get rid of fear and guilt through denial mechanisms; and, automatically resist criticisms of identity, job, and lifestyle. We need to retell the story of climate change and, at the same time, create positive, meaningful actions that can be supported even by deniers.",youtube ,0.052928241,,https://www.youtube.com/watch?v=o-LVESQtG-s,,,,,,,,,,,,,,,,,,
,Make it Easy ,,Design to nudge and change behaviour: Sille Krukow at TEDxCopenhagen,Sille Krukow, TED,10/4/13,Talk/overview of our mission and what the company is about; behavior; nudges and human behavior,,0.703472222,,https://www.youtube.com/embed/EsUzI9lZMak?utm_content=buffera0428&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,no,,,,,,,yes,#TEDx vid perfectly describing human #behavior as the root of #environmental problems AND solutions http://bit.ly/1cMHxRI�,6/11/15,6/7/16,yes,6/14/15,,,,,
,"General, Make it Mindful",,Our brains: predictably irrational,,TEDx Talks,,,http://www.ted.com/playlists/74/our_brains_predictably_,video,No,No,,,,,yes,Our brains: predictably irrational - A playlist of twelve talks on Ted. http://www.ted.com/playlists/74/our_brains_predictably_irrati,9/15/14,5/26/16,yes,,6/15/16,,,,,,,
,Make us mindful ,,Our brains: predictably irrational ,Michael Shermer ,TED Talks,no date ,Irrational decision making ,http://www.ted.com/playlists/74/our_brains_predictably_?platform=hootsuite,,,,,no,,,Not Suitable,,,,,,,,,,,,,
,Make it Normal   ,,How behavioral science can lower your energy bill ,Alex Laskey ,TED Talks,no date ,Knowing what your neighbor pays for energy might make your more competitive to reduce energy use,http://www.ted.com/talks/alex_laskey_how_behavioral_science_can_lower_your_energy_bill#t-134769,,,,,no,,,Needs Post,,,,,,,,,,,,,
,Make it personal ,,4 ways we can avoid a catastrophic drought,David Sedlak,TED Talks,1/7/16,Four behavior solutions to the drought,https://www.ted.com/talks/david_sedlak_4_ways_we_can_avoid_a_catastrophic_drought?language=en,,,,,no,,,Yes,Here's a great TED Talk that gives four implementable solutions to the California drought crisis #hopeful #solutions,10/6/16,,,,,,,,,,,
,"Make it rewarding, personal",,How I teach kids to love science,,Cesar Handa,8/1/15,Combining real life problems with imagination,https://www.ted.com/talks/cesar_harada_how_i_teach_kids_to_love_science#t-195152?platform=hootsuite,,,,,no,,,yes,Here's a great TED Talk on getting kids to fall in love w/ science by combining real life problems and imagination!,10/11/16,,,,,,,,,,,
,make it easy,,How to make better decisions,,TEDx Talks,12/8/14,"How to make better decisions, appealing to identity",https://www.youtube.com/watch?v=NQ7SAcFp4so,,,,,no,,,yes ,Dr. Arvai talks about becoming consistent individuals by alligning our beliefs and our actions.,10/14/16,,,,,,,,,,,
,Make it normal   ,,How do you punish global mega-corp? Shame them - Full WIRED2014 talk ,Jennifer Jacquet,Wired / Youtube,11/3/14,Shaming companies into straightening out ,https://www.youtube.com/watch?v=yl4NSy0SXtc,,,,,no,,,Needs Post,,,,,,,,,,,,,
,Make us mindful ,,How to improve your daily decision making: Top 4 cognitive biases you should avoid ,Bite Size Psych,Youtube ,5/14/15,Being aware of cognitive biases ,https://www.youtube.com/watch?v=3Ux3pm6UfCo,,,,,no,,,yes,"This video explains sunk cost fallacy, self-serving bias, cognitive fluency, confirmation bias & how they affect us",12/7/16,,,,,,,,,,,
,Make it normal   ,,The Right Approach to Sustainability ,Carlson School of Management,Youtube ,11/8/12,Copying others behavior can lead to climate action ,https://www.youtube.com/watch?v=G7OhZ0Opi2M,,,,,no,,,Needs Post,,,,,,,,,,,,,
,Make it Feedback,,"Advantages of Local Climate Change Forecasts and Feedback, with a couple of caveats",GarrisonInstitute,Youtube ,5/26/13,"Everyone can get behind local issues, regardless of climate change beliefs",https://www.youtube.com/watch?v=nfGaMvvYtpk,,,,,no,,,Not Suitable,,,,,,,,,,,,,
,"Make it resonate, salient ",,Environmental Communication Training: Lesson Seven ,Water Words That Work ,Youtube ,5/4/09,Using visuals to communicate about climate change,https://www.youtube.com/watch?v=gjS2RK6aQhc,,,,,no,,,Yes,"This video reveals two effective keys to talk about the environment: talk in common llanguage, and talk about water! #",10/17/16,,,,,,,,,,,
,Make it personal ,,Making People Care About Climate Change ,Climate State,Youtube ,1/7/13,"Moral frameworks, what is the relationship between humans and nature? ",https://www.youtube.com/watch?v=V6l1rFvOarM,,,,,no,,,yes,"A message from the Yale Center for Climate Change Communication on communication, misinformation, and climate action!",10/19/16,,,,,,,,,,,
,Make it habit,,Are you eating plastic for dinner? ,none,Nation Geographic,none,"Environmental problem, and suggested behavioral solutions ",http://video.nationalgeographic.com/video/short-film-showcase/are-you-eating-plastic-for-dinner,,,,,no,,,Yes,"""Are you eating plastic for dinner?"" Here's a great video on plastics effect on the oceans & how we can change that!�",10/21/16,,,,,,,,,,,
,Make us mindful ,,How to improve your daily decision making: Top 4 cognitive biases you should avoid ,Bite Size Psych,Youtube ,5/14/15,Being aware of cognitive biases ,https://www.youtube.com/watch?v=3Ux3pm6UfCo,,,,,no,,,yes,"This video explains sunk cost fallacy, self-serving bias, cognitive fluency, confirmation bias & how they affect us",10/12/16,,,,,,,,,,,
,Make it salient,climate communication ,This is your brain on communication ,,TED Talks,42401,The neuroscience behind the importance of storytelling to communication,https://www.ted.com/talks/uri_hasson_this_is_your_brain_on_communication,,,,,no,,,yes,#Neuroscience just proved the importance of storytelling to #communication! Watch this TED talk to learn more.,10/25/16,,yes,9/14/16,,,,,,,,
,"Associations, Aware",,Climate Change -- The Greatest Story Never Told,George Marshall,TEDx Talks,6-Jul-05,General action and awareness about global warming,,,"Associations, cognitive dissonance and environmental action",https://www.youtube.com/watch?v=wBlTu9Tpvvo,Resonate = No; Mindful = No,Resonate = No; Mindful = No,,,yes,Most of us recognize that�#climatechange�is real and yet we do nothing to stop it. @climategeorge�explains why�ow.ly/UdQINVIDEO,12/3/15,6/7/16,yes,12/9/15,,,,,,,,
,Aware,,Another Awareness Test You'll Probably Fail,Adam Albright-Hanna,Good,4-Mar-15,awareness,,,,http://magazine.good.is/videos/hard-awareness-test,No,No,,,Not Suitable,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Included in Decision Science News?,Date Sent,Included in Newsletter?,Date Sent in Newsletter,Included in Website?
THIS IS A VIDEO,,Make it Ordinary ,,,,,Cultural Cognition and the Challenge of Science Communication,"Kahan, D.",University of Cambridge,2012,7-Dec-2012,Communicating science to people that don't rely on science when forming opinions,http://www.sms.cam.ac.uk/media/1083337;jsessionid=24318FACA80319A17E5841ADF99EDF23?platform=hootsuite,,,,,,,,,,,,,,,,
